1, 1, 1, 		10, 		0.1106,		1.178,		1-1
1, 2, 1, 		10, 		0.09186,	0.5162,		1-1
1, 3, 1, 		10, 		0.1578,		0.9503,		1-1
1, 4, 1, 		10, 		0.1161,		0.9567,		1-1
1, 5, 1, 		10, 		0.1378,		3.270,		1-1
1, 6, 1, 		10, 		0.3759,		1.027,		1-1
1, 7, 1, 		20, 		0.3678,		1.730,		2-2
1, 8, 1, 		20, 		0.3651,		1.822,		2-2
1, 9, 1, 		10, 		0.2304,		2.950,		2-2
1, 10, 1, 		20, 		0.4441,		1.013,		2-2
2, 1, 1, 		10, 		0.1269,		0.5097,		1-1
2, 2, 1, 		10, 		0.1532,		3.942,		1-1
2, 3, 1, 		10, 		0.1847,		2.246,		1-1
2, 4, 1, 		20, 		0.2912,		1.987,		2-2
2, 5, 1, 		20, 		0.3305,		2.161,		2-2
2, 6, 1, 		10, 		0.3999,		1.312,		1-1
2, 7, 1, 		20, 		0.3788,		2.065,		2-2
2, 8, 1, 		20, 		0.3856,		1.177,		2-2
2, 9, 1, 		20, 		0.4103,		1.210,		2-2
2, 10, 1, 		20, 		0.4091,		0.7352,		2-2
3, 1, 1, 		10, 		0.1224,		0.3419,		1-1
3, 2, 1, 		10, 		0.1547,		3.673,		1-1
3, 3, 1, 		20, 		0.3414,		0.7994,		2-2
3, 4, 1, 		20, 		0.3284,		0.6366,		2-2
3, 5, 1, 		20, 		0.3322,		1.387,		2-2
3, 6, 1, 		20, 		0.2613,		3.964,		2-2
3, 7, 1, 		10, 		0.1772,		1.064,		2-2
