1, 1, 1, 		0.2210,		37.15, 4.323,		 0.5501,  0.8351,  0.0041,  0.2824,  0.5696, -0.7719,  0.3633, -0.8323,  0.4187, 		1.0000, 0.0000, 0.0000, 
1, 1, 1, 		0.2188,		31.76, 4.692,		-0.5555, -0.8315, -0.0007,  0.2706, -0.9448, -0.1848,  0.2846,  0.6566, -0.6985, 		1.0000, 0.0000, 0.0000, 
1, 1, 1, 		0.2187,		19.80, 4.822,		 0.5569,  0.8305, -0.0097,  0.7989,  0.5939, -0.0952, -0.0079,  0.9981, -0.0606, 		1.0000, 0.0000, 0.0000, 
1, 1, 1, 		0.2187,		16.55, 5.567,		 0.5681,  0.8229, -0.0012, -0.8430, -0.4910,  0.2196,  0.3809,  0.9111, -0.1576, 		1.0000, 0.0000, 0.0000, 
1, 1, 1, 		0.1102,		28.05, 14.54,		 0.6374,  0.7695,  0.0404,  0.1131,  0.9735, -0.1985,  0.9644,  0.2255,  0.1378, 		0.7394, 0.2606, 0.0000, 
1, 1, 1, 		0.2181,		22.07, 4.896,		-0.5585, -0.8295,  0.0006, -0.4093, -0.5571,  0.7226,  0.2499,  0.9681, -0.0186, 		1.0000, 0.0000, 0.0000, 
1, 2, 1, 		3.6693,		54.94, 78.87,		 0.3029, -0.4802,  0.8232,  0.8175,  0.1135, -0.5646,  0.1955,  0.9199,  0.3399, 		1.0000, 0.0000, 0.0000, 
1, 2, 1, 		0.2444,		21.74, 3.568,		-0.6456, -0.7623,  0.0463,  0.8793,  0.4749,  0.0362,  0.1534,  0.8814, -0.4468, 		1.0000, 0.0000, 0.0000, 
1, 2, 1, 		0.2266,		45.02, 2.426,		-0.6467, -0.7627, -0.0028, -0.4674,  0.7120,  0.5241, -0.0253,  0.6799, -0.7328, 		1.0000, 0.0000, 0.0000, 
1, 2, 1, 		0.2266,		46.24, 2.095,		-0.6417, -0.7669,  0.0080, -0.1122,  0.5905, -0.7992,  0.7655, -0.1625,  0.6227, 		1.0000, 0.0000, 0.0000, 
1, 2, 1, 		0.2292,		43.79, 3.512,		 0.6600,  0.7512, -0.0133,  0.1746,  0.4181, -0.8915,  0.3575,  0.2818, -0.8904, 		1.0000, 0.0000, 0.0000, 
1, 2, 1, 		0.2266,		24.08, 2.139,		-0.6430, -0.7659, -0.0005, -0.8925, -0.3590,  0.2730,  0.2546,  0.8225, -0.5086, 		1.0000, 0.0000, 0.0000, 
1, 3, 1, 		0.1381,		22.78, 12.09,		 0.6383,  0.7697,  0.0087, -0.9685, -0.2443,  0.0483,  0.4222,  0.7767, -0.4674, 		0.7368, 0.2632, 0.0000, 
1, 3, 1, 		0.2547,		36.98, 1.957,		 0.7307,  0.6827, -0.0035,  0.1138,  0.7825, -0.6122,  0.4041,  0.3388, -0.8497, 		1.0000, 0.0000, 0.0000, 
1, 3, 1, 		0.2570,		28.29, 2.348,		 0.7355,  0.6775, -0.0005,  0.4683,  0.5978,  0.6507,  0.7367,  0.3236, -0.5938, 		1.0000, 0.0000, 0.0000, 
1, 3, 1, 		0.2741,		51.42, 2.161,		-0.7130, -0.7002, -0.0366,  0.4437,  0.1859, -0.8767,  0.6450, -0.6092,  0.4614, 		1.0000, 0.0000, 0.0000, 
1, 3, 1, 		0.1285,		33.09, 13.48,		 0.7909,  0.6120, -0.0066,  0.2258,  0.9742,  0.0067,  0.2242,  0.4818, -0.8471, 		0.7488, 0.2512, 0.0000, 
1, 3, 1, 		0.2547,		21.97, 1.168,		-0.7213, -0.6926, -0.0022, -0.7198, -0.6254,  0.3014, -0.0242,  0.9927, -0.1178, 		1.0000, 0.0000, 0.0000, 
1, 4, 1, 		0.2491,		23.66, 2.288,		 0.7578,  0.6517, -0.0315,  0.3646,  0.9301,  0.0442,  0.8213,  0.2183, -0.5270, 		1.0000, 0.0000, 0.0000, 
1, 4, 1, 		0.2415,		42.93, 1.235,		 0.7604,  0.6495, -0.0039,  0.0465,  0.3698, -0.9279,  0.8372, -0.0781, -0.5413, 		1.0000, 0.0000, 0.0000, 
1, 4, 1, 		0.2594,		14.74, 2.437,		 0.7751,  0.6305, -0.0424,  0.7481,  0.5416,  0.3833,  0.6676,  0.6772, -0.3095, 		1.0000, 0.0000, 0.0000, 
1, 4, 1, 		0.2533,		30.39, 2.311,		-0.7496, -0.6617, -0.0149, -0.1000,  0.9199, -0.3791, -0.5748, -0.6761, -0.4609, 		1.0000, 0.0000, 0.0000, 
1, 4, 1, 		0.1405,		16.32, 14.18,		 0.6580,  0.7326,  0.1742,  0.8444,  0.4916, -0.2128,  0.7090,  0.6135, -0.3479, 		0.5443, 0.4557, 0.0000, 
1, 4, 1, 		0.2438,		19.69, 0.6320,		-0.7702, -0.6377, -0.0093, -0.6285, -0.6859, -0.3668,  0.9863,  0.0806,  0.1440, 		1.0000, 0.0000, 0.0000, 
1, 5, 1, 		0.2606,		43.43, 4.448,		 0.7791,  0.6262, -0.0304,  0.8512, -0.5240,  0.0293,  0.4340,  0.2640, -0.8614, 		1.0000, 0.0000, 0.0000, 
1, 5, 1, 		0.1390,		29.16, 11.39,		-0.8523, -0.5209, -0.0481, -0.4693, -0.8543,  0.2232,  0.9097, -0.2794, -0.3072, 		0.7154, 0.2846, 0.0000, 
1, 5, 1, 		0.2610,		37.46, 4.483,		 0.7752,  0.6317,  0.0016,  0.0052,  0.9022, -0.4313,  0.6626,  0.1935, -0.7236, 		1.0000, 0.0000, 0.0000, 
1, 5, 1, 		0.2522,		47.47, 2.557,		-0.7961, -0.6051, -0.0043,  0.4927,  0.1615, -0.8551,  0.2612, -0.6930, -0.6720, 		1.0000, 0.0000, 0.0000, 
1, 5, 1, 		0.1254,		32.98, 14.06,		 0.7200,  0.6938, -0.0175, -0.9931, -0.1159, -0.0174,  0.1466,  0.6241, -0.7675, 		0.7459, 0.2541, 0.0000, 
1, 5, 1, 		0.2498,		19.78, 2.482,		-0.7972, -0.6037,  0.0077, -0.6406, -0.6716, -0.3723,  0.9778,  0.0740,  0.1962, 		1.0000, 0.0000, 0.0000, 
1, 6, 1, 		0.3787,		22.39, 16.86,		 0.6806, -0.7268,  0.0925,  0.1971, -0.9684, -0.1526, -0.8628,  0.4743, -0.1751, 		0.5660, 0.4340, 0.0000, 
1, 6, 1, 		0.3776,		43.12, 14.55,		-0.4002,  0.9163, -0.0153,  0.9042, -0.4197, -0.0790, -0.4660, -0.3183,  0.8255, 		0.7201, 0.2799, 0.0000, 
1, 6, 1, 		0.7580,		18.15, 0.9698,		-0.5059,  0.8625, -0.0155, -0.7438,  0.6270, -0.2316, -0.0512,  0.9739, -0.2213, 		1.0000, 0.0000, 0.0000, 
1, 6, 1, 		0.7533,		30.20, 0.7724,		-0.5099,  0.8602, -0.0071,  0.3110,  0.6985, -0.6445, -0.7251,  0.6146,  0.3107, 		1.0000, 0.0000, 0.0000, 
1, 6, 1, 		0.3815,		23.81, 16.89,		 0.6823, -0.7307, -0.0245, -0.1336,  0.9905, -0.0332, -0.0271,  0.9193,  0.3926, 		0.5934, 0.4066, 0.0000, 
1, 6, 1, 		0.7533,		25.67, 1.063,		-0.5156,  0.8568,  0.0040,  0.2004,  0.8365,  0.5100,  0.2069, -0.9307,  0.3018, 		1.0000, 0.0000, 0.0000, 
1, 7, 1, 		0.3322,		12.57, 1.389,		 0.4904, -0.8713,  0.0194,  0.9997, -0.0080, -0.0251, -0.8201,  0.4068, -0.4025, 		0.5224, 0.4776, 0.0000, 
1, 7, 1, 		0.3317,		11.54, 1.185,		-0.4941,  0.8692, -0.0199,  0.9998, -0.0020, -0.0203,  0.8456, -0.3938, -0.3604, 		0.5217, 0.4783, 0.0000, 
1, 7, 1, 		0.3316,		8.106, 1.176,		-0.4921,  0.8704, -0.0174,  0.9998,  0.0039, -0.0212,  0.9274,  0.0595, -0.3692, 		0.5231, 0.4769, 0.0000, 
1, 7, 1, 		0.3317,		12.40, 1.165,		 0.4912, -0.8709,  0.0148,  0.9997,  0.0009, -0.0230, -0.7599,  0.5088, -0.4045, 		0.5222, 0.4778, 0.0000, 
1, 7, 1, 		0.3317,		8.060, 1.258,		-0.4959,  0.8683, -0.0154, -0.9996, -0.0102,  0.0265,  0.5649, -0.7473, -0.3500, 		0.5235, 0.4765, 0.0000, 
1, 7, 1, 		0.3329,		15.43, 1.668,		-0.5128,  0.8583, -0.0191, -0.9994, -0.0266,  0.0222, -0.6449,  0.4732,  0.6001, 		0.5298, 0.4702, 0.0000, 
1, 8, 1, 		0.3359,		11.18, 1.229,		-0.4907,  0.8712, -0.0177,  0.9998,  0.0006, -0.0222,  0.8563, -0.4462, -0.2600, 		0.5104, 0.4896, 0.0000, 
1, 8, 1, 		0.3370,		14.21, 1.353,		 0.5063, -0.8622,  0.0181,  0.9996,  0.0208, -0.0186,  0.7671,  0.0642, -0.6383, 		0.5158, 0.4842, 0.0000, 
1, 8, 1, 		0.3373,		14.20, 1.692,		-0.5041,  0.8631, -0.0311,  0.9996,  0.0159, -0.0224,  0.7747, -0.2066, -0.5976, 		0.5126, 0.4874, 0.0000, 
1, 8, 1, 		1.9977,		33.69, 19.84,		 0.9406, -0.3385, -0.0245, -0.8459,  0.2973, -0.4429,  0.6561,  0.7023,  0.2762, 		1.0000, 0.0000, 0.0000, 
1, 8, 1, 		0.3362,		12.93, 1.334,		-0.4923,  0.8703, -0.0171,  0.9996,  0.0070, -0.0266, -0.6904,  0.5341, -0.4879, 		0.5109, 0.4891, 0.0000, 
1, 8, 1, 		0.3361,		14.23, 1.131,		-0.4920,  0.8704, -0.0175, -0.9998, -0.0089,  0.0176, -0.6293,  0.5155,  0.5816, 		0.5114, 0.4886, 0.0000, 
1, 9, 1, 		0.3648,		12.30, 0.9792,		 0.5013, -0.8649,  0.0250,  1.0000,  0.0050, -0.0074, -0.4701,  0.6749, -0.5688, 		0.5061, 0.4939, 0.0000, 
