1, 1, 1, 		1.4690,		0.7641, -0.5229, -0.3777, -0.1725, -0.8851, -0.4322, -0.5005, -0.3609, 0.7869, 		1.0000, 0.0000, 0.0000, 
1, 1, 1, 		1.4684,		0.7616, -0.5213, -0.3850, 0.8183, 0.1101, 0.5642, -0.5040, 0.0408, 0.8627, 		    1.0000, 0.0000, 0.0000, 
1, 1, 1, 		0.9733,		-0.7487, 0.5318, 0.3958, -0.3908, -0.7199, 0.5736, 0.0905, -0.5818, 0.8083, 		0.6668, 0.3332, 0.0000, 
1, 1, 1, 		1.4684,		-0.7582, 0.5193, 0.3944, 0.7573, 0.3643, -0.5420, -0.9220, 0.3843, 0.0478, 		    1.0000, 0.0000, 0.0000, 
1, 1, 1, 		0.6623,		0.8065, -0.5463, -0.2261, -0.1353, 0.1825, 0.9738, -0.4681, -0.3972, 0.7894, 		0.5536, 0.4464, 0.0000, 
1, 2, 1, 		1.2055,		0.9313, -0.2971, -0.2107, 0.3087, -0.7694, -0.5592, 0.3594, -0.8426, 0.4012, 		1.0000, 0.0000, 0.0000, 
1, 2, 1, 		0.5879,		0.9514, -0.2833, -0.1208, 0.1677, -0.0377, -0.9851, -0.6447, -0.5393, 0.5418, 		0.5053, 0.4947, 0.0000, 
1, 2, 1, 		0.5879,		0.9513, -0.2840, -0.1199, -0.1635, 0.0356, 0.9859, -0.2763, -0.7571, 0.5919, 		0.5059, 0.4941, 0.0000, 
1, 2, 1, 		1.2055,		-0.9291, 0.2972, 0.2199, -0.7452, -0.4446, -0.4970, 0.0652, -0.7313, 0.6789, 		1.0000, 0.0000, 0.0000, 
1, 2, 1, 		1.2055,		0.9302, -0.2926, -0.2215, -0.9426, 0.1509, -0.2978, -0.5646, 0.3542, 0.7455, 		1.0000, 0.0000, 0.0000, 
1, 3, 1, 		1.2476,		0.2035, 0.5221, -0.8283, -0.2373, -0.7703, 0.5919, -0.4139, 0.4867, -0.7693, 		1.0000, 0.0000, 0.0000, 
1, 3, 1, 		1.2477,		0.2041, 0.5216, -0.8284, 0.5968, 0.1028, -0.7958, -0.7018, -0.5929, 0.3948, 		1.0000, 0.0000, 0.0000, 
1, 3, 1, 		0.7219,		-0.2145, -0.5268, 0.8225, -0.2647, 0.7800, 0.5670, -0.8484, 0.3567, -0.3910, 		0.6568, 0.1796, 0.1636, 
1, 3, 1, 		1.2477,		-0.2020, -0.5212, 0.8292, 0.7157, 0.5477, -0.4334, -0.4352, 0.7993, -0.4143, 		1.0000, 0.0000, 0.0000, 
1, 3, 1, 		1.2477,		-0.2038, -0.5213, 0.8287, -0.0161, 0.1354, -0.9907, -0.4631, -0.8126, 0.3539, 		1.0000, 0.0000, 0.0000, 
